
=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.1} ===
Epoch 44 | recon 0.001183 | acc 0.073545 | score 0.016082
Epoch 45 | recon 0.001114 | acc 0.071958 | score 0.015479
Epoch 46 | recon 0.001182 | acc 0.076190 | score 0.015519
Epoch 47 | recon 0.001175 | acc 0.059788 | score 0.019659
Epoch 48 | recon 0.001061 | acc 0.075661 | score 0.014023
Epoch 49 | recon 0.001147 | acc 0.049735 | score 0.023063
Epoch 50 | recon 0.001074 | acc 0.077778 | score 0.013812
→ best score = 0.013812  (epoch 50)

=== {'alpha': 1.1, 'attn_drop_path': 0.05, 'clf_dropout': 0.4} ===
Epoch 01 | recon 0.006244 | acc 0.029101 | score 0.214578
Epoch 02 | recon 0.006426 | acc 0.028571 | score 0.224898
Epoch 03 | recon 0.004088 | acc 0.023810 | score 0.171699
Epoch 04 | recon 0.003479 | acc 0.036508 | score 0.095283
Epoch 05 | recon 0.003313 | acc 0.035979 | score 0.092084
Epoch 06 | recon 0.002955 | acc 0.039153 | score 0.075471
Epoch 07 | recon 0.002956 | acc 0.049206 | score 0.060073
Epoch 08 | recon 0.003201 | acc 0.041270 | score 0.077573
Epoch 09 | recon 0.002347 | acc 0.052910 | score 0.044363
Epoch 10 | recon 0.002384 | acc 0.050794 | score 0.046941
Epoch 11 | recon 0.002207 | acc 0.049735 | score 0.044368
Epoch 12 | recon 0.002038 | acc 0.045503 | score 0.044799
Epoch 13 | recon 0.001993 | acc 0.052381 | score 0.038054
Epoch 14 | recon 0.001899 | acc 0.053968 | score 0.035188
Epoch 15 | recon 0.001958 | acc 0.056085 | score 0.034916
Epoch 16 | recon 0.001790 | acc 0.055556 | score 0.032218
Epoch 17 | recon 0.001756 | acc 0.048148 | score 0.036474
Epoch 18 | recon 0.001748 | acc 0.051852 | score 0.033706
Epoch 19 | recon 0.001716 | acc 0.052381 | score 0.032759
Epoch 20 | recon 0.001728 | acc 0.055026 | score 0.031403
Epoch 21 | recon 0.001642 | acc 0.054497 | score 0.030130
Epoch 22 | recon 0.001944 | acc 0.057143 | score 0.034019
Epoch 23 | recon 0.001605 | acc 0.060847 | score 0.026372
Epoch 24 | recon 0.001542 | acc 0.057143 | score 0.026993
Epoch 25 | recon 0.001542 | acc 0.051852 | score 0.029741
Epoch 26 | recon 0.001483 | acc 0.050794 | score 0.029202
Epoch 27 | recon 0.001439 | acc 0.057672 | score 0.024955
Epoch 28 | recon 0.001489 | acc 0.052381 | score 0.028434
Epoch 29 | recon 0.001346 | acc 0.059259 | score 0.022717
Epoch 30 | recon 0.001435 | acc 0.058201 | score 0.024659
Epoch 31 | recon 0.001597 | acc 0.061905 | score 0.025800
Epoch 32 | recon 0.001306 | acc 0.056614 | score 0.023064
Epoch 33 | recon 0.001328 | acc 0.051852 | score 0.025614
Epoch 34 | recon 0.001363 | acc 0.057672 | score 0.023629
Epoch 35 | recon 0.001338 | acc 0.044974 | score 0.029755
Epoch 36 | recon 0.001237 | acc 0.056085 | score 0.022059
Epoch 37 | recon 0.001152 | acc 0.055026 | score 0.020927
Epoch 38 | recon 0.001151 | acc 0.060847 | score 0.018915
Epoch 39 | recon 0.001171 | acc 0.066667 | score 0.017569
Epoch 40 | recon 0.001168 | acc 0.059259 | score 0.019702
Epoch 41 | recon 0.001271 | acc 0.061905 | score 0.020524
Epoch 42 | recon 0.001102 | acc 0.065079 | score 0.016940
Epoch 43 | recon 0.001062 | acc 0.062434 | score 0.017004
Epoch 44 | recon 0.001107 | acc 0.067725 | score 0.016352
Epoch 45 | recon 0.001034 | acc 0.060847 | score 0.016999
Epoch 46 | recon 0.001166 | acc 0.065079 | score 0.017918
Epoch 47 | recon 0.001048 | acc 0.036508 | score 0.028706
Epoch 48 | recon 0.001081 | acc 0.064550 | score 0.016740
Epoch 49 | recon 0.001082 | acc 0.070370 | score 0.015371
Epoch 50 | recon 0.001009 | acc 0.070899 | score 0.014232
→ best score = 0.014232  (epoch 50)

=== {'alpha': 1.1, 'attn_drop_path': 0.1, 'clf_dropout': 0.1} ===
Epoch 01 | recon 0.017277 | acc 0.029630 | score 0.583110
Epoch 02 | recon 0.005680 | acc 0.033333 | score 0.170404
Epoch 03 | recon 0.003775 | acc 0.035450 | score 0.106484
Epoch 04 | recon 0.003831 | acc 0.043915 | score 0.087237
Epoch 05 | recon 0.003099 | acc 0.044974 | score 0.068898
Epoch 06 | recon 0.002892 | acc 0.049206 | score 0.058782
Epoch 07 | recon 0.003319 | acc 0.044444 | score 0.074677
Epoch 08 | recon 0.002726 | acc 0.047619 | score 0.057243
Epoch 09 | recon 0.002349 | acc 0.042328 | score 0.055497
Epoch 10 | recon 0.002480 | acc 0.053439 | score 0.046403
Epoch 11 | recon 0.002317 | acc 0.053968 | score 0.042931
Epoch 12 | recon 0.002082 | acc 0.051852 | score 0.040147
Epoch 13 | recon 0.002069 | acc 0.051852 | score 0.039902
Epoch 14 | recon 0.002122 | acc 0.049206 | score 0.043133
Epoch 15 | recon 0.001930 | acc 0.048677 | score 0.039656
Epoch 16 | recon 0.001962 | acc 0.052910 | score 0.037085
Epoch 17 | recon 0.001888 | acc 0.050794 | score 0.037166
Epoch 18 | recon 0.001813 | acc 0.059259 | score 0.030588
Epoch 19 | recon 0.001730 | acc 0.052910 | score 0.032689
