[Epoch 85] lr=2.10e-04  val_recon=0.027474  val_cls=4.806415
[Epoch 86] lr=1.68e-04  val_recon=0.029823  val_cls=4.769178
[Epoch 87] lr=1.68e-04  val_recon=0.029914  val_cls=4.809261
[Epoch 88] lr=1.68e-04  val_recon=0.032974  val_cls=4.824970
[Epoch 89] lr=1.68e-04  val_recon=0.027869  val_cls=4.792023
[Epoch 90] lr=1.68e-04  val_recon=0.030454  val_cls=4.813190
[Epoch 91] lr=1.68e-04  val_recon=0.034191  val_cls=4.798048
[Epoch 92] lr=1.34e-04  val_recon=0.030813  val_cls=4.889038
[Epoch 93] lr=1.34e-04  val_recon=0.034917  val_cls=4.806769
[Epoch 94] lr=1.34e-04  val_recon=0.031213  val_cls=4.768180
[Epoch 95] lr=1.34e-04  val_recon=0.030508  val_cls=4.828051
[Epoch 96] lr=1.34e-04  val_recon=0.029449  val_cls=4.796728
[Epoch 97] lr=1.34e-04  val_recon=0.034729  val_cls=4.802520
[Epoch 98] lr=1.07e-04  val_recon=0.030089  val_cls=4.832257
[Epoch 99] lr=1.07e-04  val_recon=0.035085  val_cls=4.865151
[Epoch 100] lr=1.07e-04  val_recon=0.031329  val_cls=4.800145
[Epoch 101] lr=1.07e-04  val_recon=0.027454  val_cls=4.798351
[Epoch 102] lr=1.07e-04  val_recon=0.029662  val_cls=4.791014
[Epoch 103] lr=1.07e-04  val_recon=0.033378  val_cls=4.782087
[Epoch 104] lr=8.59e-05  val_recon=0.034331  val_cls=4.811505
[Epoch 105] lr=8.59e-05  val_recon=0.032324  val_cls=4.821033
[Epoch 106] lr=8.59e-05  val_recon=0.029300  val_cls=4.793214
[Epoch 107] lr=8.59e-05  val_recon=0.031326  val_cls=4.805261
[Epoch 108] lr=8.59e-05  val_recon=0.034955  val_cls=4.870991
[Epoch 109] lr=8.59e-05  val_recon=0.032993  val_cls=4.832351
[Epoch 110] lr=6.87e-05  val_recon=0.028998  val_cls=4.769574
[Epoch 111] lr=6.87e-05  val_recon=0.029492  val_cls=4.780144
[Epoch 112] lr=6.87e-05  val_recon=0.031305  val_cls=4.786007
[Epoch 113] lr=6.87e-05  val_recon=0.035014  val_cls=4.785195
[Epoch 114] lr=6.87e-05  val_recon=0.030157  val_cls=4.791406
[Epoch 115] lr=6.87e-05  val_recon=0.031121  val_cls=4.774006
[Epoch 116] lr=5.50e-05  val_recon=0.029983  val_cls=4.809787
[Epoch 117] lr=5.50e-05  val_recon=0.032353  val_cls=4.770573
[Epoch 118] lr=5.50e-05  val_recon=0.033961  val_cls=4.786444
[Epoch 119] lr=5.50e-05  val_recon=0.032622  val_cls=4.778303
[Epoch 120] lr=5.50e-05  val_recon=0.030113  val_cls=4.783661
[Epoch 121] lr=5.50e-05  val_recon=0.034027  val_cls=4.767191
[Epoch 122] lr=4.40e-05  val_recon=0.032647  val_cls=4.782661
[Epoch 123] lr=4.40e-05  val_recon=0.030438  val_cls=4.785921
[Epoch 124] lr=4.40e-05  val_recon=0.029070  val_cls=4.781730
[Epoch 125] lr=4.40e-05  val_recon=0.030456  val_cls=4.768428
[Epoch 126] lr=4.40e-05  val_recon=0.029488  val_cls=4.808732
[Epoch 127] lr=4.40e-05  val_recon=0.029311  val_cls=4.773045
[Epoch 128] lr=3.52e-05  val_recon=0.030071  val_cls=4.772993
[Epoch 129] lr=3.52e-05  val_recon=0.030665  val_cls=4.773969
[Epoch 130] lr=3.52e-05  val_recon=0.032231  val_cls=4.770815
[Epoch 131] lr=3.52e-05  val_recon=0.029706  val_cls=4.769253
[Epoch 132] lr=3.52e-05  val_recon=0.032902  val_cls=4.773541
[Epoch 133] lr=3.52e-05  val_recon=0.030365  val_cls=4.775366
[Epoch 134] lr=2.81e-05  val_recon=0.031296  val_cls=4.776124
[Epoch 135] lr=2.81e-05  val_recon=0.030524  val_cls=4.787020
[Epoch 136] lr=2.81e-05  val_recon=0.030877  val_cls=4.755841
[Epoch 137] lr=2.81e-05  val_recon=0.031608  val_cls=4.800426
[Epoch 138] lr=2.81e-05  val_recon=0.030646  val_cls=4.760581
[Epoch 139] lr=2.81e-05  val_recon=0.031603  val_cls=4.775962
[Epoch 140] lr=2.25e-05  val_recon=0.033878  val_cls=4.769784
[Epoch 141] lr=2.25e-05  val_recon=0.033326  val_cls=4.797406
[Epoch 142] lr=2.25e-05  val_recon=0.029741  val_cls=4.757271
[Epoch 143] lr=2.25e-05  val_recon=0.030936  val_cls=4.757543
[Epoch 144] lr=2.25e-05  val_recon=0.031909  val_cls=4.777571
[Epoch 145] lr=2.25e-05  val_recon=0.030199  val_cls=4.773299
[Epoch 146] lr=1.80e-05  val_recon=0.029753  val_cls=4.784936
[Epoch 147] lr=1.80e-05  val_recon=0.030078  val_cls=4.769075
[Epoch 148] lr=1.80e-05  val_recon=0.029302  val_cls=4.773924
[Epoch 149] lr=1.80e-05  val_recon=0.032455  val_cls=4.754072
[Epoch 150] lr=1.80e-05  val_recon=0.030447  val_cls=4.763638
[Epoch 151] lr=1.80e-05  val_recon=0.031797  val_cls=4.779568
[Epoch 152] lr=1.44e-05  val_recon=0.030922  val_cls=4.751824
[Epoch 153] lr=1.44e-05  val_recon=0.030285  val_cls=4.774556
[Epoch 154] lr=1.44e-05  val_recon=0.031416  val_cls=4.757527
[Epoch 155] lr=1.44e-05  val_recon=0.029881  val_cls=4.763579
[Epoch 156] lr=1.44e-05  val_recon=0.028594  val_cls=4.752781
[Epoch 157] lr=1.44e-05  val_recon=0.032129  val_cls=4.755132
[Epoch 158] lr=1.15e-05  val_recon=0.031423  val_cls=4.766218
[Epoch 159] lr=1.15e-05  val_recon=0.030403  val_cls=4.746205
[Epoch 160] lr=1.15e-05  val_recon=0.030984  val_cls=4.763273
[Epoch 161] lr=1.15e-05  val_recon=0.029801  val_cls=4.763172
[Epoch 162] lr=1.15e-05  val_recon=0.031182  val_cls=4.776612
[Epoch 163] lr=1.15e-05  val_recon=0.030689  val_cls=4.775260
[Epoch 164] lr=9.22e-06  val_recon=0.030135  val_cls=4.764143
[Epoch 165] lr=9.22e-06  val_recon=0.032087  val_cls=4.757730
[Epoch 166] lr=9.22e-06  val_recon=0.030978  val_cls=4.764427
[Epoch 167] lr=9.22e-06  val_recon=0.030119  val_cls=4.754723
[Epoch 168] lr=9.22e-06  val_recon=0.030811  val_cls=4.763361
[Epoch 169] lr=9.22e-06  val_recon=0.031776  val_cls=4.763457
[Epoch 170] lr=7.38e-06  val_recon=0.031858  val_cls=4.755950
[Epoch 171] lr=7.38e-06  val_recon=0.030729  val_cls=4.757520
[Epoch 172] lr=7.38e-06  val_recon=0.030810  val_cls=4.772316
[Epoch 173] lr=7.38e-06  val_recon=0.030504  val_cls=4.766914
[Epoch 174] lr=7.38e-06  val_recon=0.030470  val_cls=4.751408
[Epoch 175] lr=7.38e-06  val_recon=0.030672  val_cls=4.764654
[Epoch 176] lr=5.90e-06  val_recon=0.030962  val_cls=4.760821
[Epoch 177] lr=5.90e-06  val_recon=0.030772  val_cls=4.768284
[Epoch 178] lr=5.90e-06  val_recon=0.030219  val_cls=4.758328
[Epoch 179] lr=5.90e-06  val_recon=0.031064  val_cls=4.753268
[Epoch 180] lr=5.90e-06  val_recon=0.030570  val_cls=4.758802
[Epoch 181] lr=5.90e-06  val_recon=0.030979  val_cls=4.756111
[Epoch 182] lr=4.72e-06  val_recon=0.029989  val_cls=4.756727
[Epoch 183] lr=4.72e-06  val_recon=0.031291  val_cls=4.764340
[Epoch 184] lr=4.72e-06  val_recon=0.031333  val_cls=4.756250
[Epoch 185] lr=4.72e-06  val_recon=0.030665  val_cls=4.758685
[Epoch 186] lr=4.72e-06  val_recon=0.030681  val_cls=4.755791
[Epoch 187] lr=4.72e-06  val_recon=0.031260  val_cls=4.760702
[Epoch 188] lr=3.78e-06  val_recon=0.030857  val_cls=4.768158
[Epoch 189] lr=3.78e-06  val_recon=0.030734  val_cls=4.761098
[Epoch 190] lr=3.78e-06  val_recon=0.030659  val_cls=4.756777
[Epoch 191] lr=3.78e-06  val_recon=0.029996  val_cls=4.758832
[Epoch 192] lr=3.78e-06  val_recon=0.029790  val_cls=4.762735
[Epoch 193] lr=3.78e-06  val_recon=0.030624  val_cls=4.757275
[Epoch 194] lr=3.02e-06  val_recon=0.030407  val_cls=4.763688
[Epoch 195] lr=3.02e-06  val_recon=0.031681  val_cls=4.760058
[Epoch 196] lr=3.02e-06  val_recon=0.030547  val_cls=4.761681
[Epoch 197] lr=3.02e-06  val_recon=0.031825  val_cls=4.761446
[Epoch 198] lr=3.02e-06  val_recon=0.031297  val_cls=4.762927
[Epoch 199] lr=3.02e-06  val_recon=0.030631  val_cls=4.760057
[Epoch 200] lr=2.42e-06  val_recon=0.030345  val_cls=4.756318
[Epoch 201] lr=2.42e-06  val_recon=0.030341  val_cls=4.762075
[Epoch 202] lr=2.42e-06  val_recon=0.031095  val_cls=4.760678
[Epoch 203] lr=2.42e-06  val_recon=0.030438  val_cls=4.761142
[Epoch 204] lr=2.42e-06  val_recon=0.031028  val_cls=4.757310
[Epoch 205] lr=2.42e-06  val_recon=0.030496  val_cls=4.760052
[Epoch 206] lr=1.93e-06  val_recon=0.031193  val_cls=4.759045
[Epoch 207] lr=1.93e-06  val_recon=0.030913  val_cls=4.767627
[Epoch 208] lr=1.93e-06  val_recon=0.030034  val_cls=4.763994
[Epoch 209] lr=1.93e-06  val_recon=0.030362  val_cls=4.764523
[Epoch 210] lr=1.93e-06  val_recon=0.030692  val_cls=4.763436
[Epoch 211] lr=1.93e-06  val_recon=0.031499  val_cls=4.764997
[Epoch 212] lr=1.55e-06  val_recon=0.031152  val_cls=4.757923
[Epoch 213] lr=1.55e-06  val_recon=0.030789  val_cls=4.759434
[Epoch 214] lr=1.55e-06  val_recon=0.030509  val_cls=4.761187
[Epoch 215] lr=1.55e-06  val_recon=0.030395  val_cls=4.764070
[Epoch 216] lr=1.55e-06  val_recon=0.030493  val_cls=4.761376
[Epoch 217] lr=1.55e-06  val_recon=0.031230  val_cls=4.762538
[Epoch 218] lr=1.24e-06  val_recon=0.029785  val_cls=4.759377
[Epoch 219] lr=1.24e-06  val_recon=0.030446  val_cls=4.762319
[Epoch 220] lr=1.24e-06  val_recon=0.031194  val_cls=4.760732
[Epoch 221] lr=1.24e-06  val_recon=0.030711  val_cls=4.756945
[Epoch 222] lr=1.24e-06  val_recon=0.030671  val_cls=4.761291
[Epoch 223] lr=1.24e-06  val_recon=0.030611  val_cls=4.758735
[Epoch 224] lr=9.90e-07  val_recon=0.030684  val_cls=4.758506
[Epoch 225] lr=9.90e-07  val_recon=0.031246  val_cls=4.757752
[Epoch 226] lr=9.90e-07  val_recon=0.030537  val_cls=4.762023
[Epoch 227] lr=9.90e-07  val_recon=0.030317  val_cls=4.758431
