0.00161558   Val   → Total=119.56781883, Recon=0.00034783, Cls=4.64473031, Acc=0.0914
0.00161567   Val   → Total=119.56784840, Recon=0.00034784, Cls=4.64486860, Acc=0.0892
0.00161572   Val   → Total=119.56791318, Recon=0.00034780, Cls=4.64555467, Acc=0.0937
0.00161575   Val   → Total=119.56791550, Recon=0.00034847, Cls=4.63670896, Acc=0.0914
0.00161577   Val   → Total=119.56790574, Recon=0.00034790, Cls=4.64435883, Acc=0.0931
0.00161577   Val   → Total=119.56794198, Recon=0.00034799, Cls=4.64315049, Acc=0.0909
0.00161581   Val   → Total=119.56794008, Recon=0.00034784, Cls=4.64528131, Acc=0.0931
0.00161582   Val   → Total=119.56792914, Recon=0.00034806, Cls=4.64237382, Acc=0.0909
0.00161584   Val   → Total=119.56803548, Recon=0.00034839, Cls=4.63801893, Acc=0.0953
0.00161592   Val   → Total=119.56802851, Recon=0.00034812, Cls=4.64184879, Acc=0.0920
0.00161599   Val   → Total=119.56808990, Recon=0.00034763, Cls=4.64858767, Acc=0.0920
0.00161600   Val   → Total=119.56804740, Recon=0.00034814, Cls=4.64179970, Acc=0.0892
0.00161600   Val   → Total=119.56808020, Recon=0.00034779, Cls=4.64648755, Acc=0.0898
0.00161602   Val   → Total=119.56805852, Recon=0.00034810, Cls=4.64239178, Acc=0.0931
0.00161606   Val   → Total=119.56810811, Recon=0.00034785, Cls=4.64586445, Acc=0.0926
0.00161613   Val   → Total=119.56818654, Recon=0.00034770, Cls=4.64806951, Acc=0.0909
0.00161626   Val   → Total=119.56821740, Recon=0.00034781, Cls=4.64696407, Acc=0.0926
0.00161629   Val   → Total=119.56824605, Recon=0.00034781, Cls=4.64705283, Acc=0.0892
0.00161630   Val   → Total=119.56825447, Recon=0.00034776, Cls=4.64773906, Acc=0.0892
0.00161630   Val   → Total=119.56825457, Recon=0.00034760, Cls=4.64988467, Acc=0.0892
0.00161632   Val   → Total=119.56826528, Recon=0.00034815, Cls=4.64260594, Acc=0.0926
0.00161637   Val   → Total=119.56829971, Recon=0.00034760, Cls=4.65008666, Acc=0.0926
0.00161639   Val   → Total=119.56829491, Recon=0.00034770, Cls=4.64879920, Acc=0.0903
0.00161641   Val   → Total=119.56828454, Recon=0.00034786, Cls=4.64672807, Acc=0.0903
0.00161649   Val   → Total=119.56837111, Recon=0.00034782, Cls=4.64747896, Acc=0.0942
0.00161659   Val   → Total=119.56842906, Recon=0.00034790, Cls=4.64669692, Acc=0.0926
0.00161668   Val   → Total=119.56847070, Recon=0.00034770, Cls=4.64963465, Acc=0.0931
0.00161668   Val   → Total=119.56850462, Recon=0.00034802, Cls=4.64537360, Acc=0.0920
0.00161674   Val   → Total=119.56855491, Recon=0.00034812, Cls=4.64421263, Acc=0.0914
0.00161678   Val   → Total=119.56854413, Recon=0.00034823, Cls=4.64284191, Acc=0.0887
0.00161683   Val   → Total=119.56859779, Recon=0.00034778, Cls=4.64899413, Acc=0.0881
0.00161684   Val   → Total=119.56856295, Recon=0.00034771, Cls=4.64996923, Acc=0.0914
0.00161688   Val   → Total=119.56856146, Recon=0.00034789, Cls=4.64766792, Acc=0.0920
0.00161689   Val   → Total=119.56862895, Recon=0.00034781, Cls=4.64876375, Acc=0.0937
