0.00421785   Val   → Total=119.76584358, Recon=0.00037581, Cls=5.23873234, Acc=0.0891
0.00421796   Val   → Total=119.75995315, Recon=0.00037582, Cls=5.20814918, Acc=0.0891
0.00421807   Val   → Total=119.76243407, Recon=0.00037583, Cls=5.22067788, Acc=0.0891
0.00421829   Val   → Total=119.76419163, Recon=0.00037585, Cls=5.22958593, Acc=0.0891
0.00421874   Val   → Total=119.76500931, Recon=0.00037589, Cls=5.23342263, Acc=0.0891
0.00421908   Val   → Total=119.76123613, Recon=0.00037592, Cls=5.21291850, Acc=0.0891
0.00421942   Val   → Total=119.76535044, Recon=0.00037595, Cls=5.23451026, Acc=0.0891
0.00421953   Val   → Total=119.76252766, Recon=0.00037596, Cls=5.21954784, Acc=0.0891
0.00421987   Val   → Total=119.76367420, Recon=0.00037599, Cls=5.22472493, Acc=0.0891
0.00422009   Val   → Total=119.75991443, Recon=0.00037601, Cls=5.20517829, Acc=0.0891
0.00422031   Val   → Total=119.77125664, Recon=0.00037603, Cls=5.26464183, Acc=0.0891
0.00422245   Val   → Total=119.76325375, Recon=0.00037622, Cls=5.21984123, Acc=0.0891
0.00422267   Val   → Total=119.76163324, Recon=0.00037624, Cls=5.21098401, Acc=0.0891
0.00422918   Val   → Total=119.75737050, Recon=0.00037682, Cls=5.18029915, Acc=0.0891
0.00423311   Val   → Total=119.75238988, Recon=0.00037717, Cls=5.14978835, Acc=0.0891
0.00423603   Val   → Total=119.74204410, Recon=0.00037743, Cls=5.09349445, Acc=0.0891
0.00424316   Val   → Total=119.76097212, Recon=0.00037552, Cls=5.21764774, Acc=0.0885
0.00424395   Val   → Total=119.75877895, Recon=0.00037559, Cls=5.20492144, Acc=0.0885
0.00424429   Val   → Total=119.76320003, Recon=0.00037562, Cls=5.22760146, Acc=0.0885
0.00424475   Val   → Total=119.76466843, Recon=0.00037566, Cls=5.23476671, Acc=0.0885
0.00424542   Val   → Total=119.76095537, Recon=0.00037572, Cls=5.21463874, Acc=0.0885
0.00424644   Val   → Total=119.76350683, Recon=0.00037581, Cls=5.22654390, Acc=0.0885
0.00424678   Val   → Total=119.76326981, Recon=0.00037584, Cls=5.22500207, Acc=0.0885
0.00424701   Val   → Total=119.76460965, Recon=0.00037586, Cls=5.23158337, Acc=0.0885
0.00424723   Val   → Total=119.76121003, Recon=0.00037588, Cls=5.21361195, Acc=0.0885
0.00424723   Val   → Total=119.76345803, Recon=0.00037588, Cls=5.22534412, Acc=0.0885
0.00424746   Val   → Total=119.76475557, Recon=0.00037590, Cls=5.23169457, Acc=0.0885
0.00424757   Val   → Total=119.76313330, Recon=0.00037591, Cls=5.22355903, Acc=0.0885
0.00424825   Val   → Total=119.76353553, Recon=0.00037597, Cls=5.22482713, Acc=0.0885
0.00424870   Val   → Total=119.76244224, Recon=0.00037601, Cls=5.21833925, Acc=0.0885
0.00424881   Val   → Total=119.76437823, Recon=0.00037602, Cls=5.22787132, Acc=0.0885
0.00424938   Val   → Total=119.76547079, Recon=0.00037607, Cls=5.23316110, Acc=0.0885
0.00424960   Val   → Total=119.76156712, Recon=0.00037609, Cls=5.21290636, Acc=0.0885
0.00424983   Val   → Total=119.76428932, Recon=0.00037611, Cls=5.22621581, Acc=0.0885
