0.00568404   Val   → Total=119.74286896, Recon=0.00048087, Cls=3.99806178, Acc=0.0846
0.00570408   Val   → Total=119.82175773, Recon=0.00051736, Cls=4.02068982, Acc=0.0907
0.00580368   Val   → Total=119.84335852, Recon=0.00052001, Cls=4.08644505, Acc=0.0896
0.00587943   Val   → Total=119.81075490, Recon=0.00049740, Cls=4.13620275, Acc=0.0846
0.00590198   Val   → Total=119.83200308, Recon=0.00050580, Cls=4.15425997, Acc=0.0857
0.00591635   Val   → Total=119.79946346, Recon=0.00047390, Cls=4.29223865, Acc=0.0801
0.00591768   Val   → Total=119.67903248, Recon=0.00041838, Cls=4.31260106, Acc=0.0707
0.00607684   Val   → Total=119.82176011, Recon=0.00050377, Cls=4.12951196, Acc=0.0829
0.00607694   Val   → Total=119.91299305, Recon=0.00056394, Cls=4.03978820, Acc=0.0928
0.00609882   Val   → Total=119.82265727, Recon=0.00051901, Cls=4.01116481, Acc=0.0851
0.00620989   Val   → Total=119.95630426, Recon=0.00058994, Cls=4.03200226, Acc=0.0950
0.00623381   Val   → Total=119.83967524, Recon=0.00052738, Cls=4.01550097, Acc=0.0846
0.00632932   Val   → Total=119.87037935, Recon=0.00054179, Cls=4.03056204, Acc=0.0856
0.00638555   Val   → Total=119.96989972, Recon=0.00059641, Cls=4.04223304, Acc=0.0934
0.00684671   Val   → Total=120.04152308, Recon=0.00063469, Cls=4.08159296, Acc=0.0927
0.00707753   Val   → Total=119.99514198, Recon=0.00060159, Cls=4.10927690, Acc=0.0850
0.00726016   Val   → Total=120.03541276, Recon=0.00062510, Cls=4.11889100, Acc=0.0861
0.00743329   Val   → Total=120.04135065, Recon=0.00062737, Cls=4.12867112, Acc=0.0844
0.00751120   Val   → Total=120.07775529, Recon=0.00065047, Cls=4.12848075, Acc=0.0866
0.00781959   Val   → Total=120.07467674, Recon=0.00064668, Cls=4.14131862, Acc=0.0827
0.00809677   Val   → Total=120.15403964, Recon=0.00070118, Cls=4.13290313, Acc=0.0866
0.00809986   Val   → Total=119.98781436, Recon=0.00058967, Cls=4.16283515, Acc=0.0728
0.00811070   Val   → Total=120.06316592, Recon=0.00062128, Cls=4.26099542, Acc=0.0766
0.00846541   Val   → Total=119.83257895, Recon=0.00049438, Cls=4.25250537, Acc=0.0584
0.00878520   Val   → Total=120.18990256, Recon=0.00070633, Cls=4.25252501, Acc=0.0804
0.00883655   Val   → Total=120.13775663, Recon=0.00068660, Cls=4.15305519, Acc=0.0777
0.00894614   Val   → Total=120.25616719, Recon=0.00076400, Cls=4.19921204, Acc=0.0854
0.00899038   Val   → Total=120.22046471, Recon=0.00073811, Cls=4.19615917, Acc=0.0821
0.00907600   Val   → Total=120.20064843, Recon=0.00072971, Cls=4.16111247, Acc=0.0804
0.00939221   Val   → Total=119.90582752, Recon=0.00050624, Cls=4.46867774, Acc=0.0539
0.00993474   Val   → Total=120.38618329, Recon=0.00086929, Cls=4.20422630, Acc=0.0875
0.01060663   Val   → Total=120.37603540, Recon=0.00086338, Cls=4.18970324, Acc=0.0814
0.01134358   Val   → Total=120.25447642, Recon=0.00074187, Cls=4.31906999, Acc=0.0654
0.01147198   Val   → Total=120.02643464, Recon=0.00056098, Cls=4.54895512, Acc=0.0489
0.01180692   Val   → Total=120.30323865, Recon=0.00078516, Cls=4.28487463, Acc=0.0665
0.01182452   Val   → Total=120.34184958, Recon=0.00080525, Cls=4.34178263, Acc=0.0681
0.01186700   Val   → Total=120.01647619, Recon=0.00047468, Cls=5.32661772, Acc=0.0400
0.01203406   Val   → Total=120.11497936, Recon=0.00055477, Cls=5.02640527, Acc=0.0461
0.01288372   Val   → Total=120.57007872, Recon=0.00106806, Cls=4.11154348, Acc=0.0829
0.01448273   Val   → Total=120.60326462, Recon=0.00104855, Cls=4.32863057, Acc=0.0724
0.01548191   Val   → Total=120.59757649, Recon=0.00103574, Cls=4.35775350, Acc=0.0669
0.01558524   Val   → Total=120.51302986, Recon=0.00093979, Cls=4.41378129, Acc=0.0603
